JUDUL,KATEGORI,tokens,stopwords,stemmed
cuaca jakarta cerah jadi alasan warga tetap ke bundaran hi meski tak ada cfd,Olahraga,"['cuaca', 'jakarta', 'cerah', 'jadi', 'alasan', 'warga', 'tetap', 'ke', 'bundaran', 'hi', 'meski', 'tak', 'ada', 'cfd']","['cuaca', 'jakarta', 'cerah', 'alasan', 'warga', 'bundaran', 'hi', 'cfd']",cuaca jakarta cerah alas warga bundar hi cfd
kata siapa olahraga seminggu sekali nggak ngaruh efeknya sebesar ini untuk mental,Olahraga,"['kata', 'siapa', 'olahraga', 'seminggu', 'sekali', 'nggak', 'ngaruh', 'efeknya', 'sebesar', 'ini', 'untuk', 'mental']","['olahraga', 'seminggu', 'nggak', 'ngaruh', 'efeknya', 'mental']",olahraga minggu nggak ngaruh efek mental
terlalu banyak duduk disebut memperpendek umur berdiri ternyata sama saja,Olahraga,"['terlalu', 'banyak', 'duduk', 'disebut', 'memperpendek', 'umur', 'berdiri', 'ternyata', 'sama', 'saja']","['duduk', 'memperpendek', 'umur', 'berdiri']",duduk pendek umur diri
mitosfakta jalan kaki perlu tahu biar lebih efektif bakar lemak tubuh,Olahraga,"['mitosfakta', 'jalan', 'kaki', 'perlu', 'tahu', 'biar', 'lebih', 'efektif', 'bakar', 'lemak', 'tubuh']","['mitosfakta', 'jalan', 'kaki', 'biar', 'efektif', 'bakar', 'lemak', 'tubuh']",mitosfakta jalan kaki biar efektif bakar lemak tubuh
 tips sehat konsumsi hidangan lebaran menurut pakar gizi ipb ikuti aturan ini,Olahraga,"['tips', 'sehat', 'konsumsi', 'hidangan', 'lebaran', 'menurut', 'pakar', 'gizi', 'ipb', 'ikuti', 'aturan', 'ini']","['tips', 'sehat', 'konsumsi', 'hidangan', 'lebaran', 'pakar', 'gizi', 'ipb', 'ikuti', 'aturan']",tips sehat konsumsi hidang lebaran pakar gizi ipb ikut atur
cara memperbaiki pola tidur yang berantakan selama ramadan,Olahraga,"['cara', 'memperbaiki', 'pola', 'tidur', 'yang', 'berantakan', 'selama', 'ramadan']","['memperbaiki', 'pola', 'tidur', 'berantakan', 'ramadan']",baik pola tidur beranta ramadan
jay idzes percaya indonesia bisa ke piala dunia ini hanya persoalan waktu,Olahraga,"['jay', 'idzes', 'percaya', 'indonesia', 'bisa', 'ke', 'piala', 'dunia', 'ini', 'hanya', 'persoalan', 'waktu']","['jay', 'idzes', 'percaya', 'indonesia', 'piala', 'dunia']",jay idzes percaya indonesia piala dunia
apa penyebab side stitch bikin perut suduken saat olahraga,Olahraga,"['apa', 'penyebab', 'side', 'stitch', 'bikin', 'perut', 'suduken', 'saat', 'olahraga']","['penyebab', 'side', 'stitch', 'bikin', 'perut', 'suduken', 'olahraga']",sebab side stitch bikin perut suduken olahraga
berapa banyak berat badan yang turun dalam sebulan ini penjelasannya,Olahraga,"['berapa', 'banyak', 'berat', 'badan', 'yang', 'turun', 'dalam', 'sebulan', 'ini', 'penjelasannya']","['berat', 'badan', 'turun', 'sebulan', 'penjelasannya']",berat badan turun bulan jelas
serunya bersepeda santai di summarecon bandung,Olahraga,"['serunya', 'bersepeda', 'santai', 'di', 'summarecon', 'bandung']","['serunya', 'bersepeda', 'santai', 'summarecon', 'bandung']",seru sepeda santai summarecon bandung
upaya menolak pikun saat tua,Olahraga,"['upaya', 'menolak', 'pikun', 'saat', 'tua']","['upaya', 'menolak', 'pikun', 'tua']",upaya tolak pikun tua
rahasia bugar ala david beckham tetap six packs di usia jelang  tahun,Olahraga,"['rahasia', 'bugar', 'ala', 'david', 'beckham', 'tetap', 'six', 'packs', 'di', 'usia', 'jelang', 'tahun']","['rahasia', 'bugar', 'ala', 'david', 'beckham', 'six', 'packs', 'usia', 'jelang']",rahasia bugar ala david beckham six packs usia jelang
sah buleleng jadi tuan rumah tunggal porprov ,Olahraga,"['sah', 'buleleng', 'jadi', 'tuan', 'rumah', 'tunggal', 'porprov']","['sah', 'buleleng', 'tuan', 'rumah', 'tunggal', 'porprov']",sah buleleng tuan rumah tunggal porprov
pria inggris sukses pangkas bb  kg caranya mudah banget ditiru,Olahraga,"['pria', 'inggris', 'sukses', 'pangkas', 'bb', 'kg', 'caranya', 'mudah', 'banget', 'ditiru']","['pria', 'inggris', 'sukses', 'pangkas', 'bb', 'kg', 'mudah', 'banget', 'ditiru']",pria inggris sukses pangkas bb kg mudah banget tiru
begini reaksi prabowo usai timnas indonesia digilas australia,Olahraga,"['begini', 'reaksi', 'prabowo', 'usai', 'timnas', 'indonesia', 'digilas', 'australia']","['reaksi', 'prabowo', 'timnas', 'indonesia', 'digilas', 'australia']",reaksi prabowo timnas indonesia gilas australia
cerita rutinitas pagi astronot yang tinggal  bulan di luar angkasa,Olahraga,"['cerita', 'rutinitas', 'pagi', 'astronot', 'yang', 'tinggal', 'bulan', 'di', 'luar', 'angkasa']","['cerita', 'rutinitas', 'pagi', 'astronot', 'tinggal', 'angkasa']",cerita rutinitas pagi astronot tinggal angkasa
sudah puasa full tapi badan belum juga kurus ini penyebabnya,Olahraga,"['sudah', 'puasa', 'full', 'tapi', 'badan', 'belum', 'juga', 'kurus', 'ini', 'penyebabnya']","['puasa', 'full', 'badan', 'kurus', 'penyebabnya']",puasa full badan kurus sebab
bali tuan rumah seri piala dunia  veddriq leonardo banyak untungnya,Olahraga,"['bali', 'tuan', 'rumah', 'seri', 'piala', 'dunia', 'veddriq', 'leonardo', 'banyak', 'untungnya']","['bali', 'tuan', 'rumah', 'seri', 'piala', 'dunia', 'veddriq', 'leonardo', 'untungnya']",bal tuan rumah seri piala dunia veddriq leonardo untung
ngabuburit seru di skorz tempat olahraga  hiburan favorit di jakarta,Olahraga,"['ngabuburit', 'seru', 'di', 'skorz', 'tempat', 'olahraga', 'hiburan', 'favorit', 'di', 'jakarta']","['ngabuburit', 'seru', 'skorz', 'olahraga', 'hiburan', 'favorit', 'jakarta']",ngabuburit seru skorz olahraga hibur favorit jakarta
reaksi sule usai mahalini curhat soal berat badan rizky febian,Olahraga,"['reaksi', 'sule', 'usai', 'mahalini', 'curhat', 'soal', 'berat', 'badan', 'rizky', 'febian']","['reaksi', 'sule', 'mahalini', 'curhat', 'berat', 'badan', 'rizky', 'febian']",reaksi sule mahalini curhat berat badan rizky febian
kebiasaan sehat yang bisa cegah gagal ginjal termasuk rutin minum air putih,Olahraga,"['kebiasaan', 'sehat', 'yang', 'bisa', 'cegah', 'gagal', 'ginjal', 'termasuk', 'rutin', 'minum', 'air', 'putih']","['kebiasaan', 'sehat', 'cegah', 'gagal', 'ginjal', 'rutin', 'minum', 'air', 'putih']",biasa sehat cegah gagal ginjal rutin minum air putih
jakarta rasa bali tempat ngopi asri bisa olahraga,Olahraga,"['jakarta', 'rasa', 'bali', 'tempat', 'ngopi', 'asri', 'bisa', 'olahraga']","['jakarta', 'bali', 'ngopi', 'asri', 'olahraga']",jakarta bal ngopi asri olahraga
infografis tak hanya jago di lapangan pemain timnas ini juga mahasiswa,Olahraga,"['infografis', 'tak', 'hanya', 'jago', 'di', 'lapangan', 'pemain', 'timnas', 'ini', 'juga', 'mahasiswa']","['infografis', 'jago', 'lapangan', 'pemain', 'timnas', 'mahasiswa']",infografis jago lapang main timnas mahasiswa
rs siloam mampang perkenalkan integrated siloam sports medicine  performance center,Olahraga,"['rs', 'siloam', 'mampang', 'perkenalkan', 'integrated', 'siloam', 'sports', 'medicine', 'performance', 'center']","['rs', 'siloam', 'mampang', 'perkenalkan', 'integrated', 'siloam', 'sports', 'medicine', 'performance', 'center']",rs siloam mampang kenal integrated siloam sports medicine performance center
teknik gerakan renang gaya dada yang benar dan manfaatnya,Olahraga,"['teknik', 'gerakan', 'renang', 'gaya', 'dada', 'yang', 'benar', 'dan', 'manfaatnya']","['teknik', 'gerakan', 'renang', 'gaya', 'dada', 'manfaatnya']",teknik gera renang gaya dada manfaat
kapan waktu olahraga yang paling baik saat puasa,Olahraga,"['kapan', 'waktu', 'olahraga', 'yang', 'paling', 'baik', 'saat', 'puasa']","['olahraga', 'puasa']",olahraga puasa
video kutips rekomendasi olahraga tambah bb pas puasa,Olahraga,"['video', 'kutips', 'rekomendasi', 'olahraga', 'tambah', 'bb', 'pas', 'puasa']","['video', 'kutips', 'rekomendasi', 'olahraga', 'bb', 'pas', 'puasa']",video kutips rekomendasi olahraga bb pas puasa
rekomendasi smartwatch suunto buat yang hobi lari renang marathon,Olahraga,"['rekomendasi', 'smartwatch', 'suunto', 'buat', 'yang', 'hobi', 'lari', 'renang', 'marathon']","['rekomendasi', 'smartwatch', 'suunto', 'hobi', 'lari', 'renang', 'marathon']",rekomendasi smartwatch suunto hobi lari renang marathon
pria ini sukses pangkas  kg dalam  hari transformasinya bikin pangling,Olahraga,"['pria', 'ini', 'sukses', 'pangkas', 'kg', 'dalam', 'hari', 'transformasinya', 'bikin', 'pangling']","['pria', 'sukses', 'pangkas', 'kg', 'transformasinya', 'bikin', 'pangling']",pria sukses pangkas kg transformasi bikin pangling
sederet kebiasaan yang bikin berat badan naik saat puasa ramadan,Olahraga,"['sederet', 'kebiasaan', 'yang', 'bikin', 'berat', 'badan', 'naik', 'saat', 'puasa', 'ramadan']","['sederet', 'kebiasaan', 'bikin', 'berat', 'badan', 'puasa', 'ramadan']",deret biasa bikin berat badan puasa ramadan
jadwal lengkap all england  hari ini  wakil indonesia main,Olahraga,"['jadwal', 'lengkap', 'all', 'england', 'hari', 'ini', 'wakil', 'indonesia', 'main']","['jadwal', 'lengkap', 'all', 'england', 'wakil', 'indonesia', 'main']",jadwal lengkap all england wakil indonesia main
pekan kedua puasa ramadan masih belum berani olahraga ini saran dokter,Olahraga,"['pekan', 'kedua', 'puasa', 'ramadan', 'masih', 'belum', 'berani', 'olahraga', 'ini', 'saran', 'dokter']","['pekan', 'puasa', 'ramadan', 'berani', 'olahraga', 'saran', 'dokter']",pekan puasa ramadan berani olahraga saran dokter
terungkap lewat studi segini durasi olahraga yang bisa bikin panjang umur,Olahraga,"['terungkap', 'lewat', 'studi', 'segini', 'durasi', 'olahraga', 'yang', 'bisa', 'bikin', 'panjang', 'umur']","['terungkap', 'studi', 'segini', 'durasi', 'olahraga', 'bikin', 'umur']",ungkap studi gin durasi olahraga bikin umur
video amankah olahraga saat waktu sahur,Olahraga,"['video', 'amankah', 'olahraga', 'saat', 'waktu', 'sahur']","['video', 'amankah', 'olahraga', 'sahur']",video aman olahraga sahur
padma run  hadir di ubud perpaduan olahraga budaya dan charity,Olahraga,"['padma', 'run', 'hadir', 'di', 'ubud', 'perpaduan', 'olahraga', 'budaya', 'dan', 'charity']","['padma', 'run', 'hadir', 'ubud', 'perpaduan', 'olahraga', 'budaya', 'charity']",padma run hadir ubud padu olahraga budaya charity
indonesia kembali jadi tuan rumah seri piala dunia panjat tebing ,Olahraga,"['indonesia', 'kembali', 'jadi', 'tuan', 'rumah', 'seri', 'piala', 'dunia', 'panjat', 'tebing']","['indonesia', 'tuan', 'rumah', 'seri', 'piala', 'dunia', 'panjat', 'tebing']",indonesia tuan rumah seri piala dunia panjat tebing
 jurusan yang paling bikin mahasiswa bahagia menurut survei,Olahraga,"['jurusan', 'yang', 'paling', 'bikin', 'mahasiswa', 'bahagia', 'menurut', 'survei']","['jurusan', 'bikin', 'mahasiswa', 'bahagia', 'survei']",jurus bikin mahasiswa bahagia survei
 tips olahraga saat puasa agar efektif turunkan bb menurut ahli,Olahraga,"['tips', 'olahraga', 'saat', 'puasa', 'agar', 'efektif', 'turunkan', 'bb', 'menurut', 'ahli']","['tips', 'olahraga', 'puasa', 'efektif', 'turunkan', 'bb', 'ahli']",tips olahraga puasa efektif turun bb ahli
cerita mereka yang tak puasa olahraga konsisten cari keringat selama ramadan,Olahraga,"['cerita', 'mereka', 'yang', 'tak', 'puasa', 'olahraga', 'konsisten', 'cari', 'keringat', 'selama', 'ramadan']","['cerita', 'puasa', 'olahraga', 'konsisten', 'cari', 'keringat', 'ramadan']",cerita puasa olahraga konsisten cari keringat ramadan
video biasanya rajin olahraga tapi pas puasa kok malah absen ini risikonya,Olahraga,"['video', 'biasanya', 'rajin', 'olahraga', 'tapi', 'pas', 'puasa', 'kok', 'malah', 'absen', 'ini', 'risikonya']","['video', 'rajin', 'olahraga', 'pas', 'puasa', 'absen', 'risikonya']",video rajin olahraga pas puasa absen risiko
 bidang kuliah dengan mahasiswa paling bahagia menurut survei ada jurusanmu,Olahraga,"['bidang', 'kuliah', 'dengan', 'mahasiswa', 'paling', 'bahagia', 'menurut', 'survei', 'ada', 'jurusanmu']","['bidang', 'kuliah', 'mahasiswa', 'bahagia', 'survei', 'jurusanmu']",bidang kuliah mahasiswa bahagia survei jurus
video amankah olahraga di waktu sahur,Olahraga,"['video', 'amankah', 'olahraga', 'di', 'waktu', 'sahur']","['video', 'amankah', 'olahraga', 'sahur']",video aman olahraga sahur
komite olahraga pekerja tuai dukungan,Olahraga,"['komite', 'olahraga', 'pekerja', 'tuai', 'dukungan']","['komite', 'olahraga', 'pekerja', 'tuai', 'dukungan']",komite olahraga kerja tuai dukung
saran dokter bagi yang ingin olahraga malam di bulan puasa,Olahraga,"['saran', 'dokter', 'bagi', 'yang', 'ingin', 'olahraga', 'malam', 'di', 'bulan', 'puasa']","['saran', 'dokter', 'olahraga', 'malam', 'puasa']",saran dokter olahraga malam puasa
manfaat salat tarawih setara olahraga ada benarnya tapi nggak sesimpel itu,Olahraga,"['manfaat', 'salat', 'tarawih', 'setara', 'olahraga', 'ada', 'benarnya', 'tapi', 'nggak', 'sesimpel', 'itu']","['manfaat', 'salat', 'tarawih', 'setara', 'olahraga', 'benarnya', 'nggak', 'sesimpel']",manfaat salat tarawih tara olahraga benar nggak simpel
dokter ingatkan makin banyak gen z kena kanker kolorektal dipicu malas gerak,Olahraga,"['dokter', 'ingatkan', 'makin', 'banyak', 'gen', 'z', 'kena', 'kanker', 'kolorektal', 'dipicu', 'malas', 'gerak']","['dokter', 'ingatkan', 'gen', 'z', 'kena', 'kanker', 'kolorektal', 'dipicu', 'malas', 'gerak']",dokter ingat gen z kena kanker kolorektal picu malas gerak
cerita pria pangkas  kg dengan rutin jalan kaki  ribu langkah sehari,Olahraga,"['cerita', 'pria', 'pangkas', 'kg', 'dengan', 'rutin', 'jalan', 'kaki', 'ribu', 'langkah', 'sehari']","['cerita', 'pria', 'pangkas', 'kg', 'rutin', 'jalan', 'kaki', 'ribu', 'langkah', 'sehari']",cerita pria pangkas kg rutin jalan kaki ribu langkah hari
tetap berolahraga meski sedang berpuasa ini kata dokter,Olahraga,"['tetap', 'berolahraga', 'meski', 'sedang', 'berpuasa', 'ini', 'kata', 'dokter']","['berolahraga', 'berpuasa', 'dokter']",olahraga puasa dokter
olahraga saat perut kosong di bulan puasa benarkah lebih efektif pangkas bb,Olahraga,"['olahraga', 'saat', 'perut', 'kosong', 'di', 'bulan', 'puasa', 'benarkah', 'lebih', 'efektif', 'pangkas', 'bb']","['olahraga', 'perut', 'kosong', 'puasa', 'efektif', 'pangkas', 'bb']",olahraga perut kosong puasa efektif pangkas bb
kagetnya dokter temukan paruparu pria kolaps usai push uplompat tali  kali,Olahraga,"['kagetnya', 'dokter', 'temukan', 'paruparu', 'pria', 'kolaps', 'usai', 'push', 'uplompat', 'tali', 'kali']","['kagetnya', 'dokter', 'temukan', 'paruparu', 'pria', 'kolaps', 'push', 'uplompat', 'tali', 'kali']",kaget dokter temu paruparu pria kolaps push uplompat tali kali
riuh polemik siswa belajar renang di halaman sekolah,Olahraga,"['riuh', 'polemik', 'siswa', 'belajar', 'renang', 'di', 'halaman', 'sekolah']","['riuh', 'polemik', 'siswa', 'belajar', 'renang', 'halaman', 'sekolah']",riuh polemik siswa ajar renang halaman sekolah
viral siswa sd di karawang latihan renang di halaman ini faktanya,Olahraga,"['viral', 'siswa', 'sd', 'di', 'karawang', 'latihan', 'renang', 'di', 'halaman', 'ini', 'faktanya']","['viral', 'siswa', 'sd', 'karawang', 'latihan', 'renang', 'halaman', 'faktanya']",viral siswa sd karawang latih renang halaman fakta
bejo sugiantoro meninggal dokter ingatkan tanda jantung kolaps saat olahraga,Olahraga,"['bejo', 'sugiantoro', 'meninggal', 'dokter', 'ingatkan', 'tanda', 'jantung', 'kolaps', 'saat', 'olahraga']","['bejo', 'sugiantoro', 'meninggal', 'dokter', 'ingatkan', 'tanda', 'jantung', 'kolaps', 'olahraga']",bejo sugiantoro tinggal dokter ingat tanda jantung kolaps olahraga
jalan kaki indoor vs outdoor mana yang terbaik penelitian bilang gini,Olahraga,"['jalan', 'kaki', 'indoor', 'vs', 'outdoor', 'mana', 'yang', 'terbaik', 'penelitian', 'bilang', 'gini']","['jalan', 'kaki', 'indoor', 'vs', 'outdoor', 'terbaik', 'penelitian', 'bilang', 'gini']",jalan kaki indoor vs outdoor baik teliti bilang gin
seberapa jauh orang bisa berlari tanpa berhenti,Olahraga,"['seberapa', 'jauh', 'orang', 'bisa', 'berlari', 'tanpa', 'berhenti']","['orang', 'berlari', 'berhenti']",orang lari henti
main seru sepuasnya di skorz fx sudirman waktu luang jadi makin asik,Olahraga,"['main', 'seru', 'sepuasnya', 'di', 'skorz', 'fx', 'sudirman', 'waktu', 'luang', 'jadi', 'makin', 'asik']","['main', 'seru', 'sepuasnya', 'skorz', 'fx', 'sudirman', 'luang', 'asik']",main seru puas skorz fx sudirman luang asik
kronologi atlet di india tewas usai tertimpa barbel  kg di tempat gym,Olahraga,"['kronologi', 'atlet', 'di', 'india', 'tewas', 'usai', 'tertimpa', 'barbel', 'kg', 'di', 'tempat', 'gym']","['kronologi', 'atlet', 'india', 'tewas', 'tertimpa', 'barbel', 'kg', 'gym']",kronologi atlet india tewas timpa barbel kg gym
 manfaat dari pose yoga angkat kaki ke dinding mudah dilakukan di rumah,Olahraga,"['manfaat', 'dari', 'pose', 'yoga', 'angkat', 'kaki', 'ke', 'dinding', 'mudah', 'dilakukan', 'di', 'rumah']","['manfaat', 'pose', 'yoga', 'angkat', 'kaki', 'dinding', 'mudah', 'rumah']",manfaat pose yoga angkat kaki dinding mudah rumah
 hal yang bikin ronaldo tetap bugar di usia  tahun bisa ditiru loh,Olahraga,"['hal', 'yang', 'bikin', 'ronaldo', 'tetap', 'bugar', 'di', 'usia', 'tahun', 'bisa', 'ditiru', 'loh']","['bikin', 'ronaldo', 'bugar', 'usia', 'ditiru', 'loh']",bikin ronaldo bugar usia tiru loh
viral wanita diet jelang nikah turun  kg transformasinya bikin kaget,Olahraga,"['viral', 'wanita', 'diet', 'jelang', 'nikah', 'turun', 'kg', 'transformasinya', 'bikin', 'kaget']","['viral', 'wanita', 'diet', 'jelang', 'nikah', 'turun', 'kg', 'transformasinya', 'bikin', 'kaget']",viral wanita diet jelang nikah turun kg transformasi bikin kaget
studi pekerja yang berangkat dengan sepeda lebih jarang sakit ini buktinya,Olahraga,"['studi', 'pekerja', 'yang', 'berangkat', 'dengan', 'sepeda', 'lebih', 'jarang', 'sakit', 'ini', 'buktinya']","['studi', 'pekerja', 'berangkat', 'sepeda', 'jarang', 'sakit', 'buktinya']",studi kerja berangkat sepeda jarang sakit bukti
kebiasaan ini bisa sebabkan saraf kejepit di usia muda,Olahraga,"['kebiasaan', 'ini', 'bisa', 'sebabkan', 'saraf', 'kejepit', 'di', 'usia', 'muda']","['kebiasaan', 'sebabkan', 'saraf', 'kejepit', 'usia', 'muda']",biasa sebab saraf jepit usia muda
dprd pamekasan kaget halaman gedung jadi ajang olahraga pemuda telanjang dada,Olahraga,"['dprd', 'pamekasan', 'kaget', 'halaman', 'gedung', 'jadi', 'ajang', 'olahraga', 'pemuda', 'telanjang', 'dada']","['dprd', 'pamekasan', 'kaget', 'halaman', 'gedung', 'ajang', 'olahraga', 'pemuda', 'telanjang', 'dada']",dprd pamekasan kaget halaman gedung ajang olahraga pemuda telanjang dada
area dprd pamekasan jadi ajang olahraga pemuda telanjang dada ramai di medsos,Olahraga,"['area', 'dprd', 'pamekasan', 'jadi', 'ajang', 'olahraga', 'pemuda', 'telanjang', 'dada', 'ramai', 'di', 'medsos']","['area', 'dprd', 'pamekasan', 'ajang', 'olahraga', 'pemuda', 'telanjang', 'dada', 'ramai', 'medsos']",area dprd pamekasan ajang olahraga pemuda telanjang dada ramai medsos
ribuan peserta berlaga di tour of kemala  yogyakarta,Olahraga,"['ribuan', 'peserta', 'berlaga', 'di', 'tour', 'of', 'kemala', 'yogyakarta']","['ribuan', 'peserta', 'berlaga', 'tour', 'of', 'kemala', 'yogyakarta']",ribu serta laga tour of kemala yogyakarta
pendapatan ronaldo nggak kalengkaleng pantas jadi atlet terkaya,Olahraga,"['pendapatan', 'ronaldo', 'nggak', 'kalengkaleng', 'pantas', 'jadi', 'atlet', 'terkaya']","['pendapatan', 'ronaldo', 'nggak', 'kalengkaleng', 'atlet', 'terkaya']",dapat ronaldo nggak kalengkaleng atlet kaya
menpora kunjungi jsc palembang janji event internasionalbangun lapangan golf,Olahraga,"['menpora', 'kunjungi', 'jsc', 'palembang', 'janji', 'event', 'internasionalbangun', 'lapangan', 'golf']","['menpora', 'kunjungi', 'jsc', 'palembang', 'janji', 'event', 'internasionalbangun', 'lapangan', 'golf']",menpora kunjung jsc palembang janji event internasionalbangun lapang golf
 cara mudah menurunkan berat badan menurut ahli gizi,Olahraga,"['cara', 'mudah', 'menurunkan', 'berat', 'badan', 'menurut', 'ahli', 'gizi']","['mudah', 'menurunkan', 'berat', 'badan', 'ahli', 'gizi']",mudah turun berat badan ahli gizi
wacana perubahan format skor bulutangkis ricky  poin masih ideal,Olahraga,"['wacana', 'perubahan', 'format', 'skor', 'bulutangkis', 'ricky', 'poin', 'masih', 'ideal']","['wacana', 'perubahan', 'format', 'skor', 'bulutangkis', 'ricky', 'poin', 'ideal']",wacana ubah format skor bulutangkis ricky poin ideal
jadwal indonesia di kejuaraan bulutangkis beregu campuran asia ,Olahraga,"['jadwal', 'indonesia', 'di', 'kejuaraan', 'bulutangkis', 'beregu', 'campuran', 'asia']","['jadwal', 'indonesia', 'kejuaraan', 'bulutangkis', 'beregu', 'campuran', 'asia']",jadwal indonesia juara bulutangkis regu campur asia
fajarrian ditargetkan kembali juara all england bikin hattrick,Olahraga,"['fajarrian', 'ditargetkan', 'kembali', 'juara', 'all', 'england', 'bikin', 'hattrick']","['fajarrian', 'ditargetkan', 'juara', 'all', 'england', 'bikin', 'hattrick']",fajarrian target juara all england bikin hattrick
video gaya hidup sehat amel carla seimbangkan ngemil dan jadwal olahraga,Olahraga,"['video', 'gaya', 'hidup', 'sehat', 'amel', 'carla', 'seimbangkan', 'ngemil', 'dan', 'jadwal', 'olahraga']","['video', 'gaya', 'hidup', 'sehat', 'amel', 'carla', 'seimbangkan', 'ngemil', 'jadwal', 'olahraga']",video gaya hidup sehat amel carla imbang ngemil jadwal olahraga
duh gegara konsumsi minuman energi wanita ini alami gagal organ,Olahraga,"['duh', 'gegara', 'konsumsi', 'minuman', 'energi', 'wanita', 'ini', 'alami', 'gagal', 'organ']","['duh', 'gegara', 'konsumsi', 'minuman', 'energi', 'wanita', 'alami', 'gagal', 'organ']",duh gegara konsumsi minum energi wanita alami gagal organ
 cara simpel kurangi risiko sakit jantung tanpa bantuan obat,Olahraga,"['cara', 'simpel', 'kurangi', 'risiko', 'sakit', 'jantung', 'tanpa', 'bantuan', 'obat']","['simpel', 'kurangi', 'risiko', 'sakit', 'jantung', 'bantuan', 'obat']",simpel kurang risiko sakit jantung bantu obat
 gen zmilenial indonesia rutin olahraga menurut hasil survei,Olahraga,"['gen', 'zmilenial', 'indonesia', 'rutin', 'olahraga', 'menurut', 'hasil', 'survei']","['gen', 'zmilenial', 'indonesia', 'rutin', 'olahraga', 'hasil', 'survei']",gen zmilenial indonesia rutin olahraga hasil survei
video hasil survei populix  milenialgen z rutin olahraga,Olahraga,"['video', 'hasil', 'survei', 'populix', 'milenialgen', 'z', 'rutin', 'olahraga']","['video', 'hasil', 'survei', 'populix', 'milenialgen', 'z', 'rutin', 'olahraga']",video hasil survei populix milenialgen z rutin olahraga
wanita berusia  tahun ini bagikan rahasia awet mudanya,Olahraga,"['wanita', 'berusia', 'tahun', 'ini', 'bagikan', 'rahasia', 'awet', 'mudanya']","['wanita', 'berusia', 'bagikan', 'rahasia', 'awet', 'mudanya']",wanita usia bagi rahasia awet muda
 kebiasaan pagi hari yang bisa meningkatkan kesehatan mental sudah dilakukan,Olahraga,"['kebiasaan', 'pagi', 'hari', 'yang', 'bisa', 'meningkatkan', 'kesehatan', 'mental', 'sudah', 'dilakukan']","['kebiasaan', 'pagi', 'meningkatkan', 'kesehatan', 'mental']",biasa pagi tingkat sehat mental
apa kabar gugun gondrong usai sembuh dari tumor otak,Olahraga,"['apa', 'kabar', 'gugun', 'gondrong', 'usai', 'sembuh', 'dari', 'tumor', 'otak']","['kabar', 'gugun', 'gondrong', 'sembuh', 'tumor', 'otak']",kabar gugun gondrong sembuh tumor otak
david beckham masih bugar dan atletis di usia  begini menu olahraga hariannya,Olahraga,"['david', 'beckham', 'masih', 'bugar', 'dan', 'atletis', 'di', 'usia', 'begini', 'menu', 'olahraga', 'hariannya']","['david', 'beckham', 'bugar', 'atletis', 'usia', 'menu', 'olahraga', 'hariannya']",david beckham bugar atlet usia menu olahraga hari
lestarikan olahraga asli indonesia lewat festival,Olahraga,"['lestarikan', 'olahraga', 'asli', 'indonesia', 'lewat', 'festival']","['lestarikan', 'olahraga', 'asli', 'indonesia', 'festival']",lestari olahraga asli indonesia festival
begini cara diet pria yang turun  kg termasuk rutin jalan kaki  ribu langkah,Olahraga,"['begini', 'cara', 'diet', 'pria', 'yang', 'turun', 'kg', 'termasuk', 'rutin', 'jalan', 'kaki', 'ribu', 'langkah']","['diet', 'pria', 'turun', 'kg', 'rutin', 'jalan', 'kaki', 'ribu', 'langkah']",diet pria turun kg rutin jalan kaki ribu langkah
 pilihan olahraga ringan untuk usia an agar badan tetap sehat,Olahraga,"['pilihan', 'olahraga', 'ringan', 'untuk', 'usia', 'an', 'agar', 'badan', 'tetap', 'sehat']","['pilihan', 'olahraga', 'ringan', 'usia', 'an', 'badan', 'sehat']",pilih olahraga ringan usia an badan sehat
jogging track di monumen bajra sandhi ditata mahendra letakkan batu pertama,Olahraga,"['jogging', 'track', 'di', 'monumen', 'bajra', 'sandhi', 'ditata', 'mahendra', 'letakkan', 'batu', 'pertama']","['jogging', 'track', 'monumen', 'bajra', 'sandhi', 'ditata', 'mahendra', 'letakkan', 'batu']",jogging track monumen bajra sandhi tata mahendra letak batu
temuan studi lari  menit sehari bisa bikin awet muda hingga  tahun,Olahraga,"['temuan', 'studi', 'lari', 'menit', 'sehari', 'bisa', 'bikin', 'awet', 'muda', 'hingga', 'tahun']","['temuan', 'studi', 'lari', 'menit', 'sehari', 'bikin', 'awet', 'muda']",temu studi lari menit hari bikin awet muda
jogging dengan suasana kebun teh di sukabumi sejuk dan menyegarkan,Olahraga,"['jogging', 'dengan', 'suasana', 'kebun', 'teh', 'di', 'sukabumi', 'sejuk', 'dan', 'menyegarkan']","['jogging', 'suasana', 'kebun', 'teh', 'sukabumi', 'sejuk', 'menyegarkan']",jogging suasana kebun teh sukabumi sejuk segar
jalan cepat vs jalan lambat mana yang lebih efektif bakar lemakturunkan bb,Olahraga,"['jalan', 'cepat', 'vs', 'jalan', 'lambat', 'mana', 'yang', 'lebih', 'efektif', 'bakar', 'lemakturunkan', 'bb']","['jalan', 'cepat', 'vs', 'jalan', 'lambat', 'efektif', 'bakar', 'lemakturunkan', 'bb']",jalan cepat vs jalan lambat efektif bakar lemakturunkan bb
